Domaine;SEMrushRank;MoyenneClassementGooogle;Frequence
fr.wikipedia.org;1;3.475206611570248;726
www.allocine.fr;78295;4.994535519125683;366
www.programme-tv.net;125027;7.832298136645963;322
www.canalplus.com;79000;5.873076923076923;260
www.france.tv;81707;3.367088607594937;237
www.molotov.tv;479018;6.3515625;128
www.tf1.fr;104070;3.9217391304347826;115
www.6play.fr;216064;4.296296296296297;108
programmetv.ouest-france.fr;55247;8.283018867924529;106
www.programme-television.org;551242;7.63;100
tvmag.lefigaro.fr;19674;7.815217391304348;92
www.senscritique.com;283329;7.8522727272727275;88
television.telerama.fr;580161;8.113636363636363;88
www.youtube.com;2;4.627906976744186;86
fr-fr.facebook.com;6;6.607142857142857;84
www.amazon.fr;24226;8.37037037037037;81
www.programme.tv;892354;7.260273972602739;73
tv-programme.com;1069919;7.349206349206349;63
www.netflix.com;49;6.927272727272728;55
www.gulli.fr;1138870;4.528301886792453;53
www.arte.tv;112573;3.9166666666666665;48
www.larousse.fr;16910;6.787234042553192;47
www.fnac.com;59769;9.380952380952381;42
fr.wiktionary.org;39;7.2926829268292686;41
www.francetelevisions.fr;978228;7.048780487804878;41
www.francetvpro.fr;2733390;7.85;40
tv.apple.com;15;6.243243243243243;37
www.linternaute.com;291940;7.527777777777778;36
www.imdb.com;5;8.228571428571428;35
livre.fnac.com;59769;8.323529411764707;34
www.telerama.fr;580161;6.625;32
www.cineserie.com;790066;7.46875;32
www.replay.fr;2035738;7.67741935483871;31
www.ouest-france.fr;55247;6.548387096774194;31
www.facebook.com;6;7.333333333333333;30
www.toutelatele.com;3876963;6.037037037037037;27
www.justwatch.com;645;7.111111111111111;27
www.disneyplus.com;160;7.461538461538462;26
www.rmcbfmplay.com;1745272;4.3076923076923075;26
www.lefigaro.fr;19674;8.038461538461538;26
www.telestar.fr;1144866;5.24;25
www.lequipe.fr;23243;4.08;25
www.ecranlarge.com;588616;9.130434782608695;23
www.babelio.com;262262;8.0;21
en.wikipedia.org;1;4.15;20
www.nrj-play.fr;3514195;6.0;20
www.20minutes.fr;130305;8.666666666666666;18
actu.fr;519128;5.588235294117647;17
fr.vikidia.org;179145;7.470588235294118;17
www.instagram.com;7;10.375;16
www.cdiscount.com;70553;7.466666666666667;15
www.synonyme-du-mot.com;280055;4.933333333333334;15
www.radiofrance.fr;110449;6.857142857142857;14
boutique.arte.tv;112573;3.0;14
www.elle.fr;144358;8.642857142857142;14
www.filmspourenfants.net;2676185;6.214285714285714;14
www.linguee.fr;63822;9.0;13
www.voici.fr;88478;10.153846153846153;13
replay.gulli.fr;1138870;3.5384615384615383;13
www.canalj.fr;2245437;7.384615384615385;13
booknode.com;430278;10.76923076923077;13
twitter.com;12;7.5;12
www.nouveautes-tele.com;1821355;6.25;12
www.serieously.com;3103744;4.75;12
www.leparisien.fr;45057;5.583333333333333;12
www.a-suivre.org;4364275;9.454545454545455;11
discoveryfrance.fr;10550630;4.2727272727272725;11
www.cnrtl.fr;46853;7.090909090909091;11
www.rtlplay.be;1013918;7.2727272727272725;11
www.joueclub.fr;535411;6.9;10
www.eurosport.fr;214043;8.3;10
www.ozap.com;2141368;9.8;10
www.lemonde.fr;13457;6.4;10
m.youtube.com;2;6.222222222222222;9
www.europe1.fr;71059;4.888888888888889;9
www.lumni.fr;1216678;5.222222222222222;9
www.cnews.fr;136633;6.111111111111111;9
www.premiere.fr;1986629;9.666666666666666;9
www.primevideo.com;3960;6.222222222222222;9
www.cairn.info;79063;9.25;8
www.cosmopolitan.fr;454004;7.75;8
www.cultura.com;554026;7.5;8
www.lalanguefrancaise.com;64470;8.875;8
www.feminactu.com;4353654;5.75;8
www.geo.fr;503600;9.25;8
www.tfoumax.fr;6376574;6.5;8
www.bfmtv.com;49414;6.25;8
www.dailymotion.com;795;8.857142857142858;7
www.francetvinfo.fr;47748;7.0;7
fr.news.yahoo.com;11;7.285714285714286;7
www.tv5unis.ca;2136902;7.0;7
www.king-jouet.com;711009;5.571428571428571;7
www.lepoint.fr;234878;9.285714285714286;7
www.salto.fr;2314308;9.285714285714286;7
www.purebreak.com;2475641;4.714285714285714;7
xilam.com;462934;3.5714285714285716;7
www.ladepeche.fr;409717;7.428571428571429;7
www.lagranderecre.fr;1252082;7.5;6
www.rts.ch;587740;8.333333333333334;6
dictionary.cambridge.org;38;8.166666666666666;6
podcasts.apple.com;15;7.333333333333333;6
www.soap-passion.com;2271949;6.5;6
www.bedetheque.com;1385407;6.833333333333333;6
www.telequebec.tv;754960;7.666666666666667;6
www.dargaud.com;4045428;4.666666666666667;6
newsactual.fr;3271429;8.0;6
www.francebleu.fr;495057;5.833333333333333;6
www.service-public.fr;47846;4.166666666666667;6
actu.salto.fr;2314308;7.833333333333333;6
www.telepoche.fr;4384065;8.333333333333334;6
www.decitre.fr;784326;7.8;5
bullesdeculture.com;6673227;6.2;5
www.linternaute.fr;30923;5.0;5
play.google.com;4;7.2;5
www.cartoonnetwork.fr;3461587;5.8;5
www.e.leclerc;417349;10.2;5
fr.bab.la;577;9.0;5
www.magicmaman.com;306386;6.6;5
www.bdtheque.com;2756926;7.4;5
cuisine.journaldesfemmes.fr;61142;4.8;5
www.serie-news.com;8831179;5.8;5
cinema.bretagne.bzh;2917152;7.4;5
canneseries.com;401052;7.6;5
www.purepeople.com;254534;8.0;5
sports.orange.fr;113998;7.4;5
www.tf1info.fr;218597;5.4;5
www.tv5monde.com;66153;8.0;5
www.parents.fr;266711;7.4;5
www.petitpoilu.com;18981680;3.2;5
www.evous.fr;1115678;5.8;5
www.rugbyrama.fr;696995;6.8;5
www.letelegramme.fr;549870;9.0;4
www.glenat.com;2809063;6.0;4
fr.wikihow.com;116;5.75;4
actualitte.com;2471105;6.75;4
dictionnaire.lerobert.com;94741;6.75;4
apps.apple.com;15;9.0;4
www.cinereflex.com;9209427;8.25;4
www.lesinrocks.com;1201744;6.75;4
www.cnetfrance.fr;1106324;8.25;4
www.aufeminin.com;349017;9.5;4
revoir.tv5monde.com;66153;8.25;4
www.parismatch.com;113873;8.0;4
www.nationalgeographic.fr;1388457;7.0;4
www.huffingtonpost.fr;685065;10.75;4
rmc.bfmtv.com;49414;7.75;4
www.marieclaire.fr;248007;8.0;4
www.turbo.fr;1927382;7.25;4
www.lego.com;236;5.0;4
madame.lefigaro.fr;19674;5.0;4
www.telereplay.fr;4384951;7.75;4
www.lnr.fr;1618158;3.0;4
www.nvidia.com;655;3.75;4
www.rolandgarros.com;2387;4.25;4
fr.shopping.rakuten.com;2447;9.0;3
www.bibliothequerose.com;6764678;4.666666666666667;3
www.zed.fr;1235955;4.666666666666667;3
www.ledauphine.com;541312;7.666666666666667;3
www.crew-united.com;176090;7.333333333333333;3
auvio.rtbf.be;146906;10.0;3
www.lavoixdunord.fr;80584;4.0;3
www.toupie.org;602836;8.666666666666666;3
www.telez.fr;3641782;6.666666666666667;3
www.tiji.fr;4077813;8.333333333333334;3
fr.aliexpress.com;626;7.666666666666667;3
