Domaine;SEMrushRank;MoyenneClassementGooogle;Frequence;PA;MatchedDomain
fr.wikipedia.org;1;3.475206611570248;726;95;https://fr.wikipedia.org
www.allocine.fr;78295;4.994535519125683;366;91;https://www.allocine.fr
www.programme-tv.net;125027;7.832298136645963;322;85;https://www.programme-tv.net
www.canalplus.com;79000;5.873076923076923;260;84;https://www.canalplus.com
www.france.tv;81707;3.367088607594937;237;86;https://www.france.tv
www.molotov.tv;479018;6.3515625;128;60;https://www.molotov.tv
www.tf1.fr;104070;3.9217391304347826;115;86;https://www.tf1.fr
www.6play.fr;216064;4.296296296296297;108;80;https://www.6play.fr
programmetv.ouest-france.fr;55247;8.283018867924529;106;93;https://programmetv.ouest-france.fr
www.programme-television.org;551242;7.63;100;77;https://www.programme-television.org
tvmag.lefigaro.fr;19674;7.815217391304348;92;93;https://tvmag.lefigaro.fr
www.senscritique.com;283329;7.8522727272727275;88;84;https://www.senscritique.com
television.telerama.fr;580161;8.113636363636363;88;88;https://television.telerama.fr
www.youtube.com;2;4.627906976744186;86;100;https://www.youtube.com
fr-fr.facebook.com;6;6.607142857142857;84;96;https://fr-fr.facebook.com
www.amazon.fr;24226;8.37037037037037;81;93;https://www.amazon.fr
www.programme.tv;892354;7.260273972602739;73;70;https://www.programme.tv
tv-programme.com;1069919;7.349206349206349;63;57;https://tv-programme.com
www.netflix.com;49;6.927272727272728;55;93;https://www.netflix.com
www.gulli.fr;1138870;4.528301886792453;53;62;https://www.gulli.fr
www.arte.tv;112573;3.9166666666666665;48;92;https://www.arte.tv
www.larousse.fr;16910;6.787234042553192;47;86;https://www.larousse.fr
www.fnac.com;59769;9.380952380952381;42;90;https://www.fnac.com
fr.wiktionary.org;39;7.2926829268292686;41;93;https://fr.wiktionary.org
www.francetelevisions.fr;978228;7.048780487804878;41;75;https://www.francetelevisions.fr
www.francetvpro.fr;2733390;7.85;40;59;https://www.francetvpro.fr
tv.apple.com;15;6.243243243243243;37;99;https://tv.apple.com
www.linternaute.com;291940;7.527777777777778;36;88;https://www.linternaute.com
www.imdb.com;5;8.228571428571428;35;95;https://www.imdb.com
livre.fnac.com;59769;8.323529411764707;34;90;https://livre.fnac.com
www.telerama.fr;580161;6.625;32;88;https://www.telerama.fr
www.cineserie.com;790066;7.46875;32;73;https://www.cineserie.com
